Artist Name,Track Name,Popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_in min/ms,time_signature,Class
duendita,Open Eyes,35.0,0.341,0.47,5.0,-10.144,1,0.037,0.226,0.105,0.518,0.203,144.109,204280.0,4,1
Rainbow,Since You Been Gone,66.0,0.733,0.726,7.0,-6.514,1,0.0371,0.379,2.58e-06,0.471,0.915,120.814,197160.0,4,8
fijitrip,Private Social Network,30.0,0.696,0.661,6.0,-5.996,1,0.0877,0.00103,3.21e-05,0.114,0.397,121.032,180822.0,4,6
Machine Gun Kelly,love race (feat. Kellin Quinn),81.0,0.517,0.848,10.0,-4.054,1,0.0521,0.00581,,0.214,0.429,95.906,188779.0,4,9
ShittyCT,Mahapecha Shel Simcha,4.0,0.437,0.948,5.0,-4.287,0,0.092,0.000234,,0.0876,0.517,170.023,180293.0,4,6
Tetrarch,Negative Noise,49.0,0.384,0.974,1.0,-3.647,0,0.141,0.000153,0.000247,0.226,0.155,194.842,247370.0,4,8
Dreezy,Where Them $ @,42.0,0.858,0.525,,-7.332,1,0.148,0.0443,0.00738,0.197,0.351,170.875,193962.0,4,5
The Ayoub Sisters,Mother's Pride,16.0,0.297,0.0958,,-20.316,1,0.0384,0.844,0.855,0.126,0.296,80.672,3.503783333,4,7
Brandon Jack & The Artifacts,four days,29.0,0.516,0.948,2.0,-3.994,1,0.0644,0.0279,0.0564,0.15,0.957,170.087,130329.0,4,1
Moon Guitar,Struna,47.0,0.32,0.242,,-15.17,1,0.0422,0.941,0.93,0.165,0.431,81.09,2.817633333,4,7
Ivri Lider,נסיכה שלי,47.0,0.661,0.407,4.0,-9.283,1,0.0412,0.713,,0.115,0.337,127.873,216695.0,4,9
Vieux Farka Touré,Bonheur,37.0,0.569,0.751,7.0,-12.826,1,0.0418,0.365,0.856,0.0561,0.758,105.156,338292.0,4,2
Kvelertak,Crack of Doom (feat. Troy Sanders),44.0,0.357,0.977,1.0,-6.489,0,0.124,1.6e-05,0.892,0.105,0.28,159.81,233929.0,4,8
Better Than Ezra,Good,63.0,0.615,0.657,7.0,-6.873,1,0.029,0.000372,0.0204,0.132,0.792,109.95,185093.0,4,10
Lior Narkis,חלקת אלוהים - השיר של אופיר,44.0,0.479,0.444,,-6.497,1,0.0316,0.857,,0.141,0.236,107.915,174242.0,4,9
Silversun Pickups,Lazy Eye,65.0,0.633,0.831,4.0,-5.053,1,0.0461,0.0401,0.693,0.117,0.243,127.397,354360.0,4,10
Lilly Wood and The Prick,A Song,,0.618,0.438,11.0,-7.495,1,0.0762,0.407,,0.5,0.651,155.014,209307.0,4,6
Orange Juice,Rip It Up,55.0,0.881,0.546,7.0,-9.357,1,0.0407,0.0532,0.000149,0.0497,0.852,102.814,320413.0,4,6
U2,The Blackout,49.0,0.624,0.528,9.0,-9.103,0,0.0344,0.0286,0.00516,0.0866,0.33,120.049,285933.0,4,10
Omer Adam,תגידי לי שטוב לך,37.0,0.607,0.503,2.0,-7.406,1,0.0703,0.446,,0.173,0.473,135.606,205040.0,4,9
The Clash,The Magnificent Seven - Remastered,56.0,0.799,0.789,,-8.208,1,0.0395,0.0595,,0.0338,0.831,116.083,333520.0,4,10
Victor Manu,Raphaela,47.0,0.494,0.0634,2.0,-19.203,1,0.044,0.984,0.926,0.11,0.15,78.227,3.014916667,4,7
The Last Shadow Puppets,Bad Habits,49.0,0.52,0.642,9.0,-7.546,1,0.0434,0.000517,0.0017,0.0794,0.449,88.967,180968.0,4,10
Anne-Marie,Our Song,48.0,0.595,0.759,11.0,-4.245,0,0.0423,0.141,,0.172,0.515,80.953,163733.0,4,9
How Lucky,"Kurt Vile, John Prine",,0.523,0.441,5.0,-9.928,1,0.0311,0.465,0.00268,0.365,0.49,171.246,3.385116667,4,0
Sly & The Family Stone,"I Want To Take You Higher - Live at The Woodstock Music & Art Fair, August 17, 1969",28.0,0.566,0.943,,-10.359,1,0.123,0.00488,0.346,0.728,0.324,117.813,403027.0,4,10
Veruca Salt,Seether,47.0,0.612,0.86,8.0,-9.175,1,0.044,0.00253,0.00153,0.158,0.687,136.212,196467.0,4,1
Juice WRLD,Life's A Mess (feat. Halsey),77.0,0.63,0.446,1.0,-8.9,1,0.0351,0.337,,0.166,0.177,143.078,202193.0,4,5
BENEE,C U,53.0,0.521,0.532,9.0,-11.492,0,0.0357,0.563,0.000435,0.386,0.326,95.19,180533.0,4,9
Berry Sakharof,נפתלי הדג,18.0,0.501,0.474,2.0,-13.893,1,0.0299,0.608,0.885,0.147,0.281,102.404,352267.0,4,10
Ganser,Self Service - Adam Faulkner / Girl Band Remix,9.0,0.185,0.865,9.0,-10.522,1,0.0576,0.000632,0.807,0.112,0.0789,84.031,207465.0,3,6
Dion,Blues Comin’ On,34.0,0.532,0.685,4.0,-6.577,0,0.0318,0.0208,0.000154,0.303,0.648,140.036,288071.0,4,2
Nick Cave & The Bad Seeds,Deanna,41.0,0.415,0.94,,-4.874,1,0.0889,0.0049,,0.144,0.439,134.392,225627.0,4,1
Soen,Lotus,49.0,0.425,0.403,4.0,-9.343,0,0.0273,0.0792,0.0049,0.113,0.135,155.761,323931.0,4,10
Vani Jairam,Bole Re Papihara,20.0,0.373,0.707,1.0,-9.566,0,0.0562,0.668,3.68e-05,0.361,0.75,89.1,3.578883333,4,3
Liam Gallagher,Once,59.0,0.39,0.646,6.0,-3.961,1,0.0372,0.0904,,0.114,0.271,120.755,213677.0,4,10
The Pretty Things,She's a Lover,38.0,0.439,0.795,2.0,-9.424,1,0.0314,0.00407,0.00114,0.296,0.789,84.846,212067.0,4,6
Tha Dogg Pound,"New York, New York",56.0,0.827,0.532,2.0,-4.775,1,0.302,0.0219,2.91e-05,0.127,0.694,87.257,290440.0,4,5
BLAB,Casual Sex,26.0,0.709,0.685,2.0,-7.573,1,0.0281,0.0355,0.0268,0.0389,0.7,129.987,194567.0,4,1
Mighty Sam McClain,When the Hurt Is Over,41.0,0.583,0.143,,-15.786,1,0.148,0.676,2.84e-05,0.117,0.533,156.009,371496.0,3,2
Trillary Banks,Last Man Standing,35.0,0.704,0.579,6.0,-9.331,1,0.418,0.287,,0.139,0.712,142.815,176667.0,4,5
El Goodo,Feel so Fine,30.0,0.247,0.88,2.0,-3.057,1,0.097,2.01e-05,0.309,0.122,0.333,134.445,237493.0,4,10
Keb' Mo',The Medicine Man [Feat. Old Crow Medicine Show],54.0,0.801,0.637,,-6.406,1,0.0565,0.169,3.75e-05,0.0925,0.769,77.012,218360.0,4,2
Why Bonnie,Athlete,24.0,0.539,0.578,4.0,-8.522,1,0.0278,0.0987,0.000923,0.28,0.353,102.03,191890.0,4,10
Snoop Dogg,Beautiful,63.0,0.907,0.695,11.0,-6.268,0,0.135,0.246,,0.0808,0.961,101.007,298307.0,4,5
MOD SUN,Stay Away (feat. Machine Gun Kelly & Goody Grace),68.0,0.667,0.636,8.0,-5.669,1,0.082,0.022,,0.0908,0.152,158.058,151891.0,4,10
Turbo Knight,Rasengan,43.0,0.436,0.944,10.0,-7.981,1,0.0398,0.0035,0.972,0.105,0.588,110.002,307545.0,4,6
The Black Crowes,Sometimes Salvation,41.0,0.366,0.662,4.0,-4.914,1,0.034,0.00261,,0.0594,0.362,148.34,284000.0,3,10
"Britney Spears, will.i.am",Big Fat Bass (feat. will.i.am),41.0,0.777,0.71,,-4.717,1,0.0919,0.0295,,0.192,0.673,129.945,4.747333333,4,9
Radiohead,Burn the Witch,57.0,0.54,0.847,11.0,-6.52,1,0.0297,0.303,0.272,0.109,0.62,148.936,220609.0,4,10
Oceans,Shark Tooth,42.0,0.435,0.889,11.0,-6.462,0,0.0474,2.38e-05,0.000872,0.87,0.344,93.896,198345.0,4,8
Arctic Monkeys,R U Mine?,79.0,0.288,0.758,6.0,-5.692,0,0.0371,0.00616,,0.303,0.619,97.094,201726.0,4,10
The Stranglers,Golden Brown,71.0,0.562,0.383,6.0,-15.474,1,0.0304,0.143,0.124,0.138,0.599,93.764,206760.0,3,10
Itay Levi,השקט של שבת,33.0,0.683,0.347,1.0,-10.392,1,0.0473,0.549,,0.0907,0.437,80.009,157630.0,4,9
Joe Bonamassa,Cradle Rock,44.0,0.411,0.91,2.0,-4.867,1,0.0392,0.000243,0.00082,0.0931,0.613,106.675,230027.0,4,10
LeRoi Thirteen,Stand up and Shout (Cover),41.0,0.49,0.974,8.0,-4.295,1,0.115,0.000546,0.225,0.336,0.257,108.946,229617.0,4,8
Us The Duo,drivers license,55.0,0.374,0.35,10.0,-11.48,1,0.176,0.843,,0.188,0.129,74.464,3.81156667,1,0
Keller Williams,Right Here,43.0,0.633,0.194,8.0,-14.543,1,0.0729,0.885,0.404,0.111,0.421,143.376,348383.0,4,2
Primal Scream,Movin' on Up,63.0,0.523,0.76,5.0,-12.437,1,0.0325,0.103,0.00068,0.0666,0.581,94.267,228267.0,4,10
Lil Son Jackson,Upstairs Boogie,35.0,0.593,0.438,10.0,-13.451,0,0.028,0.883,0.0167,0.317,0.758,130.225,136560.0,3,2
Drake,Passionfruit,81.0,0.809,0.463,11.0,-11.377,1,0.0396,0.256,0.085,0.109,0.364,111.98,4.98235,4,9
Abstract Orchestra,New Day,45.0,0.748,0.411,8.0,-6.06,0,0.0489,0.0532,0.0117,0.115,0.339,91.941,145052.0,4,5
Luther Allison,Soul Fixin' Man,13.0,0.529,0.595,2.0,-13.696,1,0.0375,0.0227,0.0266,0.0326,0.767,134.642,187827.0,4,2
Elena Falwell,Elegi For Cello,41.0,0.167,0.148,,-19.539,1,0.0347,0.955,0.897,0.111,0.04,76.412,2.7204,3,7
Sharon Van Etten,Comeback Kid,51.0,0.543,0.927,,-5.209,1,0.0755,0.000342,0.543,0.0327,0.354,120.097,182333.0,4,10
beabadoobee,"Don’t You (Forget About Me) - live from Abbey Road Studios, London",41.0,0.644,0.891,2.0,-5.147,1,0.0526,0.00111,0.00798,0.118,0.504,110.007,239488.0,4,10
R.E.M.,Drive,62.0,0.467,0.432,7.0,-11.753,1,0.0283,0.175,0.001,0.226,0.238,142.642,271333.0,4,10
FCG Heem,Shinin,44.0,0.514,0.387,6.0,-11.51,0,0.409,0.0753,,0.0485,0.461,84.112,186812.0,4,5
The Beatles,She's Leaving Home - Remastered,,0.381,0.214,4.0,-11.629,1,0.0337,0.944,,0.106,0.393,127.581,3.586,3,0
Tom The Mail Man,Taking Over,60.0,0.762,0.516,5.0,-8.016,0,0.0969,0.0288,,0.0966,0.721,156.97,158000.0,4,5
ANSON,Ghost,28.0,0.357,0.943,4.0,-6.168,0,0.101,0.000547,,0.145,0.482,147.217,209682.0,4,10
Jimmy Eat World,All The Way (Stay),38.0,0.576,0.931,7.0,-2.491,1,0.0563,0.00085,,0.143,0.735,133.986,245747.0,4,10
dempsey hope,picture perfect,3.0,0.61,0.482,5.0,-9.137,1,0.137,0.299,,0.0527,0.869,73.628,147013.0,4,9
Howie Lee,Birdy Island,24.0,0.491,0.504,4.0,-13.581,0,0.0566,0.625,0.794,0.222,0.145,159.911,258771.0,4,6
Pit Pony,Dutch Courage,25.0,0.117,0.916,1.0,-3.281,1,0.0723,1.39e-05,0.0992,0.219,0.423,151.886,270205.0,4,1
Niko B,Who's That What's That,63.0,0.86,0.668,7.0,-8.512,1,0.221,0.423,1.85e-06,0.096,0.237,128.096,240000.0,4,9
Ruthi Navon,חשמל בכפות ידיך,22.0,0.766,0.526,10.0,-11.819,1,0.0392,0.784,0.000214,0.0879,0.934,141.631,238000.0,4,10
Dan + Shay,Good Things,71.0,0.529,0.621,11.0,-6.018,1,0.0296,0.13,,0.173,0.617,97.189,2.48178333,4,9
Gossip,Standing In the Way of Control,55.0,0.697,0.919,7.0,-6.174,1,0.029,0.00694,0.0621,0.203,0.943,118.341,256400.0,4,6
Gone Is Gone,Breaks,28.0,0.407,0.932,11.0,-6.252,1,0.113,0.00363,0.346,0.229,0.173,102.954,235214.0,4,8
Violent Soho,Covered in Chrome,55.0,0.564,0.753,5.0,-5.223,1,0.0433,0.00512,2.43e-06,0.167,0.414,152.064,212547.0,4,10
Mr. Oizo,Positif,44.0,0.744,0.928,10.0,-5.628,0,0.0495,0.000409,0.624,0.132,0.507,123.014,171120.0,4,6
Cage The Elephant,Skin and Bones,65.0,0.539,0.788,9.0,-3.227,0,0.0396,0.0089,,0.29,0.357,159.986,196173.0,4,10
Carusella,Star Quality,11.0,0.431,0.967,1.0,-4.555,1,0.114,0.00159,0.0064,0.142,0.179,146.623,269440.0,4,6
Faith No More,Falling to Pieces,,0.545,0.919,2.0,-7.679,1,0.0483,0.00269,0.00512,0.0978,0.386,104.364,313573.0,4,10
FLO,D's,66.0,0.266,0.294,7.0,-11.938,0,0.0291,0.771,0.697,0.107,0.0397,137.941,811077.0,3,9
Pathiena,The Deepest Of Sorrow,40.0,0.645,0.329,2.0,-16.642,1,0.0419,0.239,0.892,0.375,0.184,128.099,3.545833333,4,0
The Offspring,Coming for You,59.0,0.508,0.912,,-1.798,1,0.0827,9.75e-05,1.25e-06,0.0669,0.533,139.381,228587.0,4,10
Pain of Salvation,Meaningless,42.0,0.579,0.661,7.0,-4.011,1,0.0422,0.0675,0.000373,0.303,0.374,144.909,287467.0,3,10
Lenny Kravitz,Stand By My Woman,,0.521,0.527,2.0,-6.371,1,0.0296,0.0931,0.0244,0.106,0.273,122.271,259627.0,4,10
Black Sabbath,Paranoid,16.0,0.426,0.619,4.0,-11.501,0,0.0722,8.44e-05,0.00239,0.17,0.382,162.721,2.80733333,4,10
The Dark Element,Songs the Night Sings,47.0,0.449,0.854,3.0,-8.261,1,0.0431,4.62e-05,0.016,0.246,0.408,152.142,309827.0,4,8
Henry Gray,Let's Get High,19.0,0.698,0.609,,-6.993,1,0.0485,0.743,,0.188,0.665,131.057,232413.0,4,2
Eyal Golan,טעיתי,38.0,0.54,0.425,5.0,-9.577,0,0.0518,0.428,,0.218,0.239,88.047,220543.0,4,9
Noah Kahan,Young Blood - Acoustic,59.0,0.691,0.231,11.0,-10.512,1,0.0471,0.815,,0.103,0.298,85.153,3.34355,4,0
The First Edition,Just Dropped In (To See What Condition My Condition Was In),57.0,0.58,0.551,9.0,-9.898,0,0.0582,0.181,0.00719,0.15,0.516,115.896,201213.0,4,10
Alka Yagnik,Aaye Ho Meri Zindagi Mein - Female Version,42.0,0.565,0.754,8.0,-11.636,0,0.0344,0.678,0.0442,0.0756,0.922,135.01,6.05555,3,3
Bryan Adams,I Think About You,43.0,0.616,0.551,7.0,-7.27,1,0.0249,0.155,,0.099,0.618,75.027,216373.0,4,10
The Shins,Simple Song,62.0,0.546,0.878,7.0,-5.137,1,0.0525,0.0133,,0.135,0.35,119.945,255400.0,4,1
benny blanco,Care (with Omar Apollo),50.0,0.618,0.215,2.0,-12.8,1,0.04,0.759,0.00962,0.109,0.214,90.004,290466.0,4,1
The 1975,She's American,57.0,0.639,0.859,1.0,-3.923,1,0.0554,0.18,0.000499,0.0798,0.523,115.97,270104.0,4,10
Winger,Seventeen,60.0,0.577,0.676,8.0,-11.931,1,0.0295,0.000895,2.29e-06,0.0625,0.676,95.98,245267.0,4,8
Townes Van Zandt,Waitin' Around To Die,52.0,0.551,0.233,6.0,-18.251,0,0.0312,0.71,0.000949,0.11,0.659,89.574,165187.0,4,6
Piers Faccini,Bring Down The Wall,28.0,0.454,0.387,2.0,-10.159,0,0.0417,0.406,0.00099,0.0783,0.686,97.995,205533.0,4,10
Athletic Progression,Stepney Tale,37.0,0.632,0.8,5.0,-7.227,0,0.234,0.547,,0.147,0.496,92.757,209833.0,4,5
Thirty Seconds To Mars,Dangerous Night,56.0,0.295,0.715,2.0,-6.533,1,0.0709,0.00212,1.55e-06,0.242,0.242,86.937,199773.0,4,10
Pete Rock & C.L. Smooth,Straighten It Out,50.0,0.77,0.656,10.0,-11.169,0,0.246,0.11,,0.0793,0.788,98.82,253413.0,4,5
Peter Case,Bumble Bee,45.0,0.717,0.245,7.0,-10.908,0,0.0493,0.665,0.000119,0.385,0.502,83.554,214933.0,4,2
Menahan Street Band,Queens Highway,50.0,0.778,0.399,1.0,-8.984,1,0.0858,0.0751,0.835,0.103,0.321,137.305,67720.0,4,1
Butcher Babies,Sleeping with the Enemy,48.0,0.438,0.951,7.0,-5.192,0,0.0736,4.63e-05,0.233,0.351,0.461,165.088,212927.0,4,8
MICROCORPS,DOR,10.0,0.451,0.776,3.0,-11.756,0,0.0587,0.0518,0.703,0.11,0.609,177.953,331304.0,4,6
Sarah Palu,Ikivirta,38.0,0.617,0.375,5.0,-11.889,0,0.0319,0.742,0.513,0.109,0.117,151.983,387547.0,4,1
Saltatio Mortis,Kaufmann und Maid,54.0,0.565,0.768,2.0,-5.332,0,0.0382,0.0277,,0.0725,0.58,124.006,223907.0,4,8
JADHU,Fling,32.0,0.62,0.835,9.0,-6.711,0,0.0319,0.273,0.00339,0.113,0.699,99.022,225072.0,4,9
Bring Me The Horizon,Parasite Eve,69.0,0.589,0.797,9.0,-5.464,1,0.15,0.0289,4.35e-06,0.383,0.232,102.489,291813.0,4,10
Frost*,Day and Age - Edit,38.0,0.443,0.858,8.0,-6.935,1,0.0378,0.000843,0.00243,0.18,0.34,169.951,301533.0,4,8
Toto Espinoza,Frida Kahlo,41.0,0.605,0.162,4.0,-12.932,0,0.0353,0.98,0.899,0.104,0.126,95.576,5.735216667,3,7
T-Bone Walker,Evil Hearted Woman - Alternate Take,30.0,0.624,0.26,1.0,-11.64,1,0.0621,0.904,0.0263,0.0825,0.551,51.0,156933.0,4,2
K. J. Yesudas,Do Din Ki Jawani - Adalat / Soundtrack Version,7.0,0.513,0.658,6.0,-7.185,0,0.0622,0.512,,0.21,0.698,145.896,3.181333333,4,3
Jimi Hendrix,Purple Haze,71.0,0.533,0.905,2.0,-5.27,1,0.0754,0.00876,0.578,0.0698,0.486,108.9,2.84688333,4,10
Eskiz,Aborjinin Türküsü,21.0,0.588,0.747,7.0,-6.064,1,0.0498,0.116,7.2e-05,0.244,0.263,138.067,249000.0,4,10
Lowest Creature,Reapers Fool,23.0,0.487,0.975,11.0,-4.974,1,0.105,7.47e-05,0.0183,0.201,0.526,139.964,202019.0,4,8
Tomer Yeshayahu,בלי לעזוב,30.0,0.621,0.375,5.0,-11.8,1,0.0297,0.701,1.2e-06,0.122,0.508,132.611,219625.0,4,9
Neon Trees,Animal,66.0,0.482,0.829,5.0,-5.576,1,0.0437,0.00034,,0.378,0.739,147.99,212307.0,4,10
JJ Lin,Bedroom (feat. Anne-Marie),69.0,0.369,0.424,7.0,-5.431,1,0.0318,0.64,,0.184,0.181,179.597,203991.0,4,9
Foreign Air,Monsters,50.0,0.552,0.673,9.0,-4.9,0,0.0298,0.00553,,0.114,0.174,89.993,224053.0,4,6
S. P. Balasubrahmanyam,Mere Rang Mein Rangne Wali,34.0,0.548,0.347,7.0,-14.7,0,0.0362,0.771,0.00175,0.124,0.498,117.75,6.90355,4,3
Scary Kids Scaring Kids,Holding On,49.0,0.421,0.935,8.0,-5.153,0,0.0697,0.000442,0.000212,0.1,0.455,165.02,261240.0,4,10
Lawrence of Arcadia,David Keenan,30.0,0.524,0.336,2.0,-8.034,1,0.0415,0.841,0.00118,0.111,0.458,110.964,4.757883333,5,0
Nirvana,In Bloom,65.0,0.436,0.876,10.0,-4.902,0,0.0647,3.33e-05,0.000104,0.205,0.512,157.044,255080.0,4,1
Berry Sakharof,77' - Acoustic Live,17.0,0.5,0.47,,-7.996,1,0.0345,0.642,0.0511,0.276,0.346,158.809,268400.0,4,10
Breezie 311,Shots In The Dark,32.0,0.705,0.756,9.0,-5.274,0,0.0415,0.00477,,0.0892,0.846,129.98,141875.0,4,10
Ghali,Combo (feat. Mr Eazi),41.0,0.825,0.781,9.0,-4.732,0,0.107,0.0833,3.55e-05,0.26,0.812,100.013,176012.0,4,9
Gwar,Sick of You,48.0,0.657,0.535,1.0,-9.715,1,0.047,0.000329,0.000492,0.318,0.738,132.257,188830.0,4,8
Downset,Empower,42.0,0.58,0.93,1.0,-5.719,1,0.12,0.0128,,0.102,0.534,97.917,144267.0,4,8
Blue Material,Blue Blood,37.0,0.621,0.602,9.0,-7.796,0,0.0279,0.000316,0.853,0.134,0.609,116.011,230152.0,4,6
Sempra,B Mine?,19.0,0.754,0.92,3.0,-4.484,0,0.05,0.183,0.689,0.187,0.966,147.998,266133.0,4,1
Malcolm McLaren,Buffalo Gals,41.0,0.881,0.636,4.0,-13.617,0,0.156,0.0257,0.000257,0.207,0.616,108.863,259427.0,4,5
Arcade Fire,Ready to Start,58.0,0.282,0.932,9.0,-4.701,1,0.0387,0.12,0.0335,0.0692,0.536,190.08,255893.0,4,10
Bad Nerves,Dreaming,32.0,0.449,0.958,6.0,-6.602,0,0.123,5.33e-06,0.000116,0.148,0.389,107.458,129373.0,4,6
3 Doors Down,Your Arms Feel Like home,37.0,0.548,0.709,9.0,-6.557,0,0.0273,0.00678,3.82e-06,0.104,0.191,119.998,224213.0,4,10
ARXX,Deep,33.0,0.65,0.6,9.0,-10.615,0,0.04,0.0278,0.00121,0.811,0.795,110.016,180203.0,4,10
Crown Lands,Howlin' Back Again,39.0,0.494,0.969,6.0,-2.694,1,0.222,0.172,0.00158,0.148,0.165,121.214,169808.0,4,10
The Undercover Dream Lovers,Get to You,42.0,0.761,0.707,5.0,-6.208,0,0.0356,0.68,0.421,0.0969,0.893,113.976,208421.0,4,6
A Scent Like Wolves,Telephone,39.0,0.553,0.939,3.0,-4.04,0,0.0795,0.000833,0.000181,0.404,0.369,124.984,198840.0,4,8
Idan Rafael Haviv,שלמים,55.0,0.417,0.355,,-12.372,1,0.0599,0.847,4.18e-05,0.113,0.0914,86.078,221025.0,4,9
Otis Junior,When It's Sweet,30.0,0.824,0.489,9.0,-5.669,0,0.0692,0.302,,0.0887,0.771,86.815,160250.0,4,1
Madhav Gopi Nair,Mukti,17.0,0.349,0.336,4.0,-11.111,1,0.0292,0.723,0.913,0.154,0.062,112.966,111765.0,5,6
The Sequence,Funk You Up - 12'' Version,24.0,0.921,0.768,,-5.735,1,0.311,0.507,0.000738,0.053,0.775,103.713,652320.0,4,5
Advaita,Ghir Ghir,33.0,0.601,0.728,4.0,-10.469,1,0.0436,0.378,0.726,0.368,0.862,137.99,5.09355,3,0
John Campbell,Devil in My Closet,30.0,0.353,0.495,8.0,-11.503,1,0.0344,0.000119,0.0119,0.13,0.567,81.018,360600.0,4,2
Dan + Shay,Glad You Exist,79.0,0.748,0.551,11.0,-6.12,1,0.0349,0.235,,0.119,0.66,103.953,2.408883333,4,4
